NORMAL: 2018.02.28 10:25:19.362    软件启动！
NORMAL: 2018.02.28 10:25:21.441    选择汽车型号： 众泰E01
NORMAL: 2018.02.28 10:25:23.081    打开CAN设备成功！
NORMAL: 2018.02.28 10:25:23.081    启动数据收发线程！
NORMAL: 2018.02.28 10:25:23.081    开始进行CAN通信！
NORMAL: 2018.02.28 10:25:23.281    开始进行诊断线程！
NORMAL: 2018.02.28 10:25:23.286    发送 0000000000 0x00000731 数据帧 标准帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.02.28 10:25:23.290    接收 0x00358137 0x00000739 数据帧 标准帧 08 06 50 03 00 32 01 F4 00
NORMAL: 2018.02.28 10:25:23.291    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.28 10:25:23.292    发送 0000000000 0x00000731 数据帧 标准帧 08 02 27 01 55 55 55 55 55
NORMAL: 2018.02.28 10:25:23.295    接收 0x0035813b 0x00000739 数据帧 标准帧 08 06 67 01 00 29 89 8E 00
NORMAL: 2018.02.28 10:25:23.295    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.28 10:25:23.297    发送 0000000000 0x00000731 数据帧 标准帧 08 06 27 02 E6 EA A1 FD 55
NORMAL: 2018.02.28 10:25:23.301    接收 0x00358143 0x00000739 数据帧 标准帧 08 02 67 02 00 00 00 00 00
NORMAL: 2018.02.28 10:25:23.301    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.28 10:25:23.304    发送 0000000000 0x00000731 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:25:23.306    接收 0x00358147 0x00000739 数据帧 标准帧 08 02 7E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:25:23.306    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.28 10:25:23.306    选中车型对应配置文件：C:/Users/chengshulei.GLBPOWER/Documents/Visual Studio 2013/Projects/DiagnosePage_20180118/Win32/Release/configure/众泰/Diag_Set.txt
ERROR: 2018.02.28 10:25:23.411    配置文件解析失败！没有获得命令数据！
NORMAL: 2018.02.28 10:25:25.307    发送 0000000000 0x00000731 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:25:25.310    接收 0x0035891c 0x00000739 数据帧 标准帧 08 02 7E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:25:25.311    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.28 10:25:25.965    开始读取故障码！
NORMAL: 2018.02.28 10:25:26.014    发送 0000000000 0x00000731 数据帧 标准帧 08 03 19 02 FF 00 00 00 00
NORMAL: 2018.02.28 10:25:26.019    接收 0x00358be0 0x00000739 数据帧 标准帧 08 10 13 59 02 BD 10 0C 00
NORMAL: 2018.02.28 10:25:26.021    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.28 10:25:26.024    发送 0000000000 0x00000731 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.28 10:25:26.026    接收 0x00358be7 0x00000739 数据帧 标准帧 08 21 0B 10 0E 00 08 10 10
NORMAL: 2018.02.28 10:25:26.027    接收 0x00358be8 0x00000739 数据帧 标准帧 08 22 00 08 10 11 00 08 00
NORMAL: 2018.02.28 10:25:26.031    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.28 10:25:26.053    读取故障码成功！
NORMAL: 2018.02.28 10:25:27.354    发送 0000000000 0x00000731 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:25:27.358    接收 0x0035911c 0x00000739 数据帧 标准帧 08 02 7E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:25:27.358    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.28 10:25:29.360    发送 0000000000 0x00000731 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:25:29.362    接收 0x003598f0 0x00000739 数据帧 标准帧 08 02 7E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:25:29.363    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.28 10:25:31.365    发送 0000000000 0x00000731 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:25:31.369    接收 0x0035a0c8 0x00000739 数据帧 标准帧 08 02 7E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:25:31.369    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.28 10:25:32.940    CAN设备已经打开，进行关闭！
