NORMAL: 2018.02.28 10:33:35.234    软件启动！
NORMAL: 2018.02.28 10:33:36.473    选择汽车型号： 众泰E01
NORMAL: 2018.02.28 10:33:37.707    打开CAN设备成功！
NORMAL: 2018.02.28 10:33:37.707    启动数据收发线程！
NORMAL: 2018.02.28 10:33:37.707    开始进行CAN通信！
NORMAL: 2018.02.28 10:33:37.907    开始进行诊断线程！
NORMAL: 2018.02.28 10:33:37.909    发送 0000000000 0x00000731 数据帧 标准帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.02.28 10:33:37.913    接收 0x003d0d7f 0x00000739 数据帧 标准帧 08 06 50 03 00 32 01 F4 00
NORMAL: 2018.02.28 10:33:37.914    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.28 10:33:37.916    发送 0000000000 0x00000731 数据帧 标准帧 08 02 27 01 55 55 55 55 55
NORMAL: 2018.02.28 10:33:37.921    接收 0x003d0d87 0x00000739 数据帧 标准帧 08 06 67 01 00 31 15 90 00
NORMAL: 2018.02.28 10:33:37.921    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.28 10:33:37.923    发送 0000000000 0x00000731 数据帧 标准帧 08 06 27 02 E9 F2 2E AA 55
NORMAL: 2018.02.28 10:33:37.925    接收 0x003d0d8b 0x00000739 数据帧 标准帧 08 02 67 02 00 00 00 00 00
NORMAL: 2018.02.28 10:33:37.926    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.28 10:33:37.928    发送 0000000000 0x00000731 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:33:37.933    接收 0x003d0d93 0x00000739 数据帧 标准帧 08 02 7E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:33:37.933    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.28 10:33:37.933    选中车型对应配置文件：C:/Users/chengshulei.GLBPOWER/Documents/Visual Studio 2013/Projects/DiagnosePage_20180118/Win32/Release/configure/众泰/Diag_Set.txt
ERROR: 2018.02.28 10:33:37.957    配置文件解析失败！没有获得命令数据！
NORMAL: 2018.02.28 10:33:39.708    开始读取故障码！
NORMAL: 2018.02.28 10:33:39.735    发送 0000000000 0x00000731 数据帧 标准帧 08 03 19 02 FF 00 00 00 00
NORMAL: 2018.02.28 10:33:39.738    接收 0x003d149f 0x00000739 数据帧 标准帧 08 10 13 59 02 BD 10 0C 00
NORMAL: 2018.02.28 10:33:39.743    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.28 10:33:39.745    发送 0000000000 0x00000731 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.28 10:33:39.748    接收 0x003d14aa 0x00000739 数据帧 标准帧 08 21 0B 10 0E 00 08 10 10
NORMAL: 2018.02.28 10:33:39.749    接收 0x003d14ab 0x00000739 数据帧 标准帧 08 22 00 08 10 11 00 08 00
NORMAL: 2018.02.28 10:33:39.753    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.28 10:33:39.777    读取故障码成功！
NORMAL: 2018.02.28 10:33:39.977    发送 0000000000 0x00000731 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:33:39.981    接收 0x003d1593 0x00000739 数据帧 标准帧 08 02 7E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:33:39.981    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.28 10:33:41.983    发送 0000000000 0x00000731 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:33:41.985    接收 0x003d1d67 0x00000739 数据帧 标准帧 08 02 7E 00 00 00 00 00 00
NORMAL: 2018.02.28 10:33:41.986    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.28 10:33:43.991    CAN设备已经打开，进行关闭！
