NORMAL: 2018.03.26 15:38:35.257    软件启动！
NORMAL: 2018.03.26 15:38:36.344    选择汽车型号： 新时空
NORMAL: 2018.03.26 15:38:37.664    打开CAN设备成功！
NORMAL: 2018.03.26 15:38:37.665    启动数据收发线程！
NORMAL: 2018.03.26 15:38:37.665    开始进行CAN通信！
NORMAL: 2018.03.26 15:38:37.865    开始进行诊断线程！
NORMAL: 2018.03.26 15:38:37.868    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.26 15:38:37.966    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.26 15:38:38.066    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
ERROR: 2018.03.26 15:38:38.165    进入诊断 命令接收失败！
NORMAL: 2018.03.26 15:38:38.167    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.26 15:38:38.266    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.26 15:38:38.366    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
ERROR: 2018.03.26 15:38:38.465    进入诊断 命令接收失败！
NORMAL: 2018.03.26 15:38:38.466    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.26 15:38:38.566    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.26 15:38:38.666    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
ERROR: 2018.03.26 15:38:38.765    进入诊断 命令接收失败！
NORMAL: 2018.03.26 15:38:38.767    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.26 15:38:38.867    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.26 15:38:38.966    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
ERROR: 2018.03.26 15:38:39.065    进入诊断 命令接收失败！
NORMAL: 2018.03.26 15:38:39.066    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.26 15:38:39.166    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.26 15:38:39.266    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.26 15:38:39.366    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
ERROR: 2018.03.26 15:38:39.445    进入诊断 命令接收失败！
NORMAL: 2018.03.26 15:38:39.474    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.26 15:38:39.566    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
ERROR: 2018.03.26 15:38:39.665    进入诊断 命令接收失败！
NORMAL: 2018.03.26 15:38:39.667    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.26 15:38:39.767    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.26 15:38:39.866    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
ERROR: 2018.03.26 15:38:39.870    数据接收异常！请重启设备！
NORMAL: 2018.03.26 15:38:43.628    CAN设备已经打开，进行关闭！
