NORMAL: 2018.02.06 17:33:17.573    软件启动！
NORMAL: 2018.02.06 17:33:19.541    选择汽车型号： 吉利帝豪PHEV_ISG
NORMAL: 2018.02.06 17:33:20.627    打开CAN设备成功！
NORMAL: 2018.02.06 17:33:20.627    启动数据收发线程！
NORMAL: 2018.02.06 17:33:20.627    开始进行CAN通信！
NORMAL: 2018.02.06 17:33:20.827    开始进行诊断线程！
NORMAL: 2018.02.06 17:33:20.830    发送 0000000000 0x00000735 数据帧 标准帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.02.06 17:33:20.832    接收 0x00bc8b02 0x0000073d 数据帧 标准帧 08 06 50 03 00 32 01 F4 AA
NORMAL: 2018.02.06 17:33:20.834    发送 0000000000 0x00000735 数据帧 标准帧 08 02 27 01 55 55 55 55 55
NORMAL: 2018.02.06 17:33:20.836    接收 0x00bc8b05 0x0000073d 数据帧 标准帧 08 06 67 01 00 EE 28 CE AA
NORMAL: 2018.02.06 17:33:20.839    发送 0000000000 0x00000735 数据帧 标准帧 08 06 27 02 F0 67 BB 5F 55
NORMAL: 2018.02.06 17:33:20.841    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 17:33:20.841    接收 0x00bc8b0b 0x0000073d 数据帧 标准帧 08 02 67 02 AA AA AA AA AA
NORMAL: 2018.02.06 17:33:20.841    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 17:33:20.842    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 17:33:20.845    发送 0000000000 0x00000735 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.06 17:33:20.846    接收 0x00bc8b11 0x0000073d 数据帧 标准帧 08 02 7E 00 AA AA AA AA AA
NORMAL: 2018.02.06 17:33:20.847    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 17:33:20.847    选中车型对应配置文件：C:/Users/chengshulei.GLBPOWER/Documents/Visual Studio 2013/Projects/DiagnosePage_20180118/Win32/Release/configure/帝豪PHEV_ISG/Diag_Set.txt
NORMAL: 2018.02.06 17:33:21.056    开始读取ECU信息！
NORMAL: 2018.02.06 17:33:21.149    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 12 00 00 00 00
NORMAL: 2018.02.06 17:33:21.151    接收 0x00bc8c41 0x0000073d 数据帧 标准帧 08 10 0B 62 F1 12 00 00 00
NORMAL: 2018.02.06 17:33:21.152    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:33:21.154    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 17:33:21.154    接收 0x00bc8c45 0x0000073d 数据帧 标准帧 08 21 00 00 00 00 00 AA AA
NORMAL: 2018.02.06 17:33:21.157    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:33:21.159    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 87 00 00 00 00
NORMAL: 2018.02.06 17:33:21.161    接收 0x00bc8c4b 0x0000073d 数据帧 标准帧 08 10 0B 62 F1 87 30 30 30
NORMAL: 2018.02.06 17:33:21.162    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:33:21.164    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 17:33:21.164    接收 0x00bc8c50 0x0000073d 数据帧 标准帧 08 21 30 30 30 30 30 AA AA
