NORMAL: 2018.02.06 18:27:01.605    软件启动！
NORMAL: 2018.02.06 18:27:03.245    选择汽车型号： 吉利帝豪PHEV_ISG
NORMAL: 2018.02.06 18:27:04.269    打开CAN设备成功！
NORMAL: 2018.02.06 18:27:04.269    启动数据收发线程！
NORMAL: 2018.02.06 18:27:04.269    开始进行CAN通信！
NORMAL: 2018.02.06 18:27:04.470    开始进行诊断线程！
NORMAL: 2018.02.06 18:27:04.472    发送 0000000000 0x00000735 数据帧 标准帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.02.06 18:27:04.479    接收 0x00edbc5f 0x0000073d 数据帧 标准帧 08 06 50 03 00 32 01 F4 AA
NORMAL: 2018.02.06 18:27:04.481    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 18:27:04.482    发送 0000000000 0x00000735 数据帧 标准帧 08 02 27 01 55 55 55 55 55
NORMAL: 2018.02.06 18:27:04.484    接收 0x00edbc69 0x0000073d 数据帧 标准帧 08 06 67 01 01 1F 59 1F AA
NORMAL: 2018.02.06 18:27:04.485    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 18:27:04.487    发送 0000000000 0x00000735 数据帧 标准帧 08 06 27 02 F0 77 4C 4E 55
NORMAL: 2018.02.06 18:27:04.494    接收 0x00edbc6e 0x0000073d 数据帧 标准帧 08 02 67 02 AA AA AA AA AA
NORMAL: 2018.02.06 18:27:04.495    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 18:27:04.500    发送 0000000000 0x00000735 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.06 18:27:04.502    接收 0x00edbc7c 0x0000073d 数据帧 标准帧 08 02 7E 00 AA AA AA AA AA
NORMAL: 2018.02.06 18:27:04.503    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 18:27:04.503    选中车型对应配置文件：C:/Users/chengshulei.GLBPOWER/Documents/Visual Studio 2013/Projects/DiagnosePage_20180118/Win32/Release/configure/帝豪PHEV_ISG/Diag_Set.txt
NORMAL: 2018.02.06 18:27:04.640    开始读取ECU信息！
NORMAL: 2018.02.06 18:27:04.705    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 12 00 00 00 00
NORMAL: 2018.02.06 18:27:04.707    接收 0x00edbd48 0x0000073d 数据帧 标准帧 08 10 0B 62 F1 12 00 00 00
NORMAL: 2018.02.06 18:27:04.709    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:27:04.710    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:27:04.710    接收 0x00edbd4c 0x0000073d 数据帧 标准帧 08 21 00 00 00 00 00 AA AA
NORMAL: 2018.02.06 18:27:04.713    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:27:04.715    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 87 00 00 00 00
NORMAL: 2018.02.06 18:27:04.717    接收 0x00edbd52 0x0000073d 数据帧 标准帧 08 10 0B 62 F1 87 30 30 30
NORMAL: 2018.02.06 18:27:04.718    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:27:04.721    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
