NORMAL: 2018.02.06 17:58:11.980    软件启动！
NORMAL: 2018.02.06 17:58:13.205    选择汽车型号： 吉利帝豪PHEV_ISG
NORMAL: 2018.02.06 17:58:14.229    打开CAN设备成功！
NORMAL: 2018.02.06 17:58:14.229    启动数据收发线程！
NORMAL: 2018.02.06 17:58:14.229    开始进行CAN通信！
NORMAL: 2018.02.06 17:58:14.429    开始进行诊断线程！
NORMAL: 2018.02.06 17:58:14.434    发送 0000000000 0x00000735 数据帧 标准帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.02.06 17:58:14.435    接收 0x00d355dc 0x0000073d 数据帧 标准帧 08 06 50 03 00 32 01 F4 AA
NORMAL: 2018.02.06 17:58:14.436    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 17:58:14.438    发送 0000000000 0x00000735 数据帧 标准帧 08 02 27 01 55 55 55 55 55
NORMAL: 2018.02.06 17:58:14.441    接收 0x00d355e3 0x0000073d 数据帧 标准帧 08 06 67 01 01 04 F3 2A AA
NORMAL: 2018.02.06 17:58:14.441    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 17:58:14.443    发送 0000000000 0x00000735 数据帧 标准帧 08 06 27 02 B0 C7 56 44 55
NORMAL: 2018.02.06 17:58:14.444    接收 0x00d355e7 0x0000073d 数据帧 标准帧 08 02 67 02 AA AA AA AA AA
NORMAL: 2018.02.06 17:58:14.446    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 17:58:14.447    发送 0000000000 0x00000735 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.06 17:58:14.448    接收 0x00d355eb 0x0000073d 数据帧 标准帧 08 02 7E 00 AA AA AA AA AA
NORMAL: 2018.02.06 17:58:14.451    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 17:58:14.451    选中车型对应配置文件：C:/Users/chengshulei.GLBPOWER/Documents/Visual Studio 2013/Projects/DiagnosePage_20180118/Win32/Release/configure/帝豪PHEV_ISG/Diag_Set.txt
NORMAL: 2018.02.06 17:58:14.586    开始读取ECU信息！
NORMAL: 2018.02.06 17:58:14.653    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 12 00 00 00 00
NORMAL: 2018.02.06 17:58:14.655    接收 0x00d356b9 0x0000073d 数据帧 标准帧 08 10 0B 62 F1 12 00 00 00
NORMAL: 2018.02.06 17:58:14.656    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:58:14.658    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 17:58:14.660    接收 0x00d356be 0x0000073d 数据帧 标准帧 08 21 00 00 00 00 00 AA AA
NORMAL: 2018.02.06 17:58:14.661    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:58:14.663    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 87 00 00 00 00
NORMAL: 2018.02.06 17:58:14.665    接收 0x00d356c3 0x0000073d 数据帧 标准帧 08 10 0B 62 F1 87 30 30 30
NORMAL: 2018.02.06 17:58:14.666    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:58:14.668    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 17:58:14.668    接收 0x00d356c8 0x0000073d 数据帧 标准帧 08 21 30 30 30 30 30 AA AA
NORMAL: 2018.02.06 17:58:14.672    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:58:14.673    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 89 00 00 00 00
NORMAL: 2018.02.06 17:58:14.675    接收 0x00d356cd 0x0000073d 数据帧 标准帧 08 10 13 62 F1 89 30 30 30
NORMAL: 2018.02.06 17:58:14.676    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:58:14.677    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 17:58:14.679    接收 0x00d356d1 0x0000073d 数据帧 标准帧 08 21 30 30 30 30 30 30 30
NORMAL: 2018.02.06 17:58:14.680    接收 0x00d356d2 0x0000073d 数据帧 标准帧 08 22 30 30 30 30 30 30 AA
NORMAL: 2018.02.06 17:58:14.681    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:58:14.683    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 8A 00 00 00 00
NORMAL: 2018.02.06 17:58:14.685    接收 0x00d356d7 0x0000073d 数据帧 标准帧 08 10 0D 62 F1 8A 30 30 30
NORMAL: 2018.02.06 17:58:14.686    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:58:14.688    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 17:58:14.690    接收 0x00d356dc 0x0000073d 数据帧 标准帧 08 21 30 30 30 30 30 30 30
NORMAL: 2018.02.06 17:58:14.691    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:58:14.693    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 8B 00 00 00 00
NORMAL: 2018.02.06 17:58:14.695    接收 0x00d356e1 0x0000073d 数据帧 标准帧 08 07 62 F1 8B 20 17 12 10
NORMAL: 2018.02.06 17:58:14.696    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:58:14.698    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 8C 00 00 00 00
NORMAL: 2018.02.06 17:58:14.700    接收 0x00d356e6 0x0000073d 数据帧 标准帧 08 10 13 62 F1 8C 31 32 33
NORMAL: 2018.02.06 17:58:14.701    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:58:14.703    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 17:58:14.705    接收 0x00d356eb 0x0000073d 数据帧 标准帧 08 21 34 35 36 37 38 39 41
NORMAL: 2018.02.06 17:58:14.706    接收 0x00d356ec 0x0000073d 数据帧 标准帧 08 22 42 43 44 45 46 31 AA
NORMAL: 2018.02.06 17:58:14.706    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:58:14.708    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 90 00 00 00 00
NORMAL: 2018.02.06 17:58:14.710    接收 0x00d356f0 0x0000073d 数据帧 标准帧 08 10 14 62 F1 90 00 00 00
NORMAL: 2018.02.06 17:58:14.711    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:58:14.714    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 17:58:14.714    接收 0x00d356f4 0x0000073d 数据帧 标准帧 08 21 00 00 00 00 00 00 00
NORMAL: 2018.02.06 17:58:14.716    接收 0x00d356f6 0x0000073d 数据帧 标准帧 08 22 00 00 00 00 00 00 00
NORMAL: 2018.02.06 17:58:14.716    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:58:14.718    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 93 00 00 00 00
NORMAL: 2018.02.06 17:58:14.720    接收 0x00d356fa 0x0000073d 数据帧 标准帧 08 10 13 62 F1 93 31 32 33
NORMAL: 2018.02.06 17:58:14.721    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 17:58:14.723    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 17:58:14.723    接收 0x00d356ff 0x0000073d 数据帧 标准帧 08 21 34 35 36 37 38 39 41
NORMAL: 2018.02.06 17:58:14.725    接收 0x00d35700 0x0000073d 数据帧 标准帧 08 22 42 43 44 45 46 31 AA
