NORMAL: 2018.03.26 15:14:01.364    软件启动！
NORMAL: 2018.03.26 15:14:07.250    选择汽车型号： 众泰E01
NORMAL: 2018.03.26 15:17:59.758    打开CAN设备成功！
NORMAL: 2018.03.26 15:17:59.758    启动数据收发线程！
NORMAL: 2018.03.26 15:17:59.759    开始进行CAN通信！
NORMAL: 2018.03.26 15:17:59.959    开始进行诊断线程！
ERROR: 2018.03.26 15:18:00.262    进入诊断 命令接收失败！
ERROR: 2018.03.26 15:18:00.562    进入诊断 命令接收失败！
ERROR: 2018.03.26 15:18:00.862    进入诊断 命令接收失败！
ERROR: 2018.03.26 15:18:01.162    进入诊断 命令接收失败！
ERROR: 2018.03.26 15:18:01.462    进入诊断 命令接收失败！
ERROR: 2018.03.26 15:18:01.762    进入诊断 命令接收失败！
ERROR: 2018.03.26 15:18:01.963    数据帧发送未成功！
ERROR: 2018.03.26 15:18:01.967    数据接收异常！请重启设备！
ERROR: 2018.03.26 15:18:03.964    数据帧发送未成功！
ERROR: 2018.03.26 15:18:04.927    数据帧发送未成功！
NORMAL: 2018.03.26 15:18:05.966    CAN设备已经打开，进行关闭！
