NORMAL: 2018.02.06 17:03:53.390    软件启动！
NORMAL: 2018.02.06 17:03:54.821    选择汽车型号： 吉利帝豪PHEV_ISG
NORMAL: 2018.02.06 17:03:56.020    打开CAN设备成功！
NORMAL: 2018.02.06 17:03:56.020    启动数据收发线程！
NORMAL: 2018.02.06 17:03:56.020    开始进行CAN通信！
NORMAL: 2018.02.06 17:03:56.220    开始进行诊断线程！
NORMAL: 2018.02.06 17:03:56.222    发送 0000000000 0x00000735 数据帧 标准帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.02.06 17:03:56.224    接收 0x00a19d74 0x0000073d 数据帧 标准帧 08 06 50 03 00 32 01 F4 AA
NORMAL: 2018.02.06 17:03:56.225    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 17:03:56.227    发送 0000000000 0x00000735 数据帧 标准帧 08 02 27 01 55 55 55 55 55
NORMAL: 2018.02.06 17:03:56.227    接收 0x00a19d78 0x0000073d 数据帧 标准帧 08 06 67 01 00 D3 3B D9 AA
NORMAL: 2018.02.06 17:03:56.230    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 17:03:56.233    发送 0000000000 0x00000735 数据帧 标准帧 08 06 27 02 D0 B7 8A 5C 55
NORMAL: 2018.02.06 17:03:56.233    接收 0x00a19d7e 0x0000073d 数据帧 标准帧 08 02 67 02 AA AA AA AA AA
NORMAL: 2018.02.06 17:03:56.235    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 17:03:56.237    发送 0000000000 0x00000735 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.06 17:03:56.237    接收 0x00a19d82 0x0000073d 数据帧 标准帧 08 02 7E 00 AA AA AA AA AA
NORMAL: 2018.02.06 17:03:56.240    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 17:03:56.240    选中车型对应配置文件：C:/Users/chengshulei.GLBPOWER/Documents/Visual Studio 2013/Projects/DiagnosePage_20180118/Win32/Release/configure/帝豪PHEV_ISG/Diag_Set.txt
NORMAL: 2018.02.06 17:03:56.501    开始读取ECU信息！
NORMAL: 2018.02.06 17:03:56.542    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 12 00 00 00 00
NORMAL: 2018.02.06 17:03:56.544    接收 0x00a19eb4 0x0000073d 数据帧 标准帧 08 10 0B 62 F1 12 00 00 00
