NORMAL: 2018.03.01 16:08:41.132    软件启动！
NORMAL: 2018.03.01 16:08:43.040    选择汽车型号： 新时空
NORMAL: 2018.03.01 16:08:44.944    打开CAN设备成功！
NORMAL: 2018.03.01 16:08:44.944    启动数据收发线程！
NORMAL: 2018.03.01 16:08:44.944    开始进行CAN通信！
NORMAL: 2018.03.01 16:08:45.144    开始进行诊断线程！
NORMAL: 2018.03.01 16:08:45.162    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.03.01 16:08:45.164    接收 0x00aa81cf 0x1ce7f9ef 数据帧 扩展帧 08 06 50 03 00 32 01 F4 00
NORMAL: 2018.03.01 16:08:45.164    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.03.01 16:08:45.167    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 27 03 55 55 55 55 55
NORMAL: 2018.03.01 16:08:45.169    接收 0x00aa81d4 0x1ce7f9ef 数据帧 扩展帧 08 06 67 03 00 A8 A0 45 00
NORMAL: 2018.03.01 16:08:45.169    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.03.01 16:08:45.171    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 06 27 04 F3 F0 C0 79 55
NORMAL: 2018.03.01 16:08:45.173    接收 0x00aa81d8 0x1ce7f9ef 数据帧 扩展帧 08 02 67 04 00 44 00 3B 3E
NORMAL: 2018.03.01 16:08:45.174    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.03.01 16:08:45.176    发送 0000000000 0x1ce6eff9 数据帧 扩展帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.03.01 16:08:45.178    接收 0x00aa81dd 0x1ce7f9ef 数据帧 扩展帧 08 02 7E 00 00 28 00 0F 3E
NORMAL: 2018.03.01 16:08:45.179    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
