NORMAL: 2018.02.06 18:06:58.702    软件启动！
NORMAL: 2018.02.06 18:07:00.021    选择汽车型号： 吉利帝豪PHEV_ISG
NORMAL: 2018.02.06 18:07:01.027    打开CAN设备成功！
NORMAL: 2018.02.06 18:07:01.027    启动数据收发线程！
NORMAL: 2018.02.06 18:07:01.027    开始进行CAN通信！
NORMAL: 2018.02.06 18:07:01.227    开始进行诊断线程！
NORMAL: 2018.02.06 18:07:01.229    发送 0000000000 0x00000735 数据帧 标准帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.02.06 18:07:01.231    接收 0x00db5fd3 0x0000073d 数据帧 标准帧 08 06 50 03 00 32 01 F4 AA
NORMAL: 2018.02.06 18:07:01.234    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 18:07:01.235    发送 0000000000 0x00000735 数据帧 标准帧 08 02 27 01 55 55 55 55 55
NORMAL: 2018.02.06 18:07:01.238    接收 0x00db5fda 0x0000073d 数据帧 标准帧 08 06 67 01 01 0C FC F5 AA
NORMAL: 2018.02.06 18:07:01.238    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 18:07:01.242    发送 0000000000 0x00000735 数据帧 标准帧 08 06 27 02 70 47 56 4B 55
NORMAL: 2018.02.06 18:07:01.243    接收 0x00db5fe0 0x0000073d 数据帧 标准帧 08 02 67 02 AA AA AA AA AA
NORMAL: 2018.02.06 18:07:01.244    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 18:07:01.246    发送 0000000000 0x00000735 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.06 18:07:01.248    接收 0x00db5fe4 0x0000073d 数据帧 标准帧 08 02 7E 00 AA AA AA AA AA
NORMAL: 2018.02.06 18:07:01.249    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 18:07:01.249    选中车型对应配置文件：C:/Users/chengshulei.GLBPOWER/Documents/Visual Studio 2013/Projects/DiagnosePage_20180118/Win32/Release/configure/帝豪PHEV_ISG/Diag_Set.txt
NORMAL: 2018.02.06 18:07:01.400    开始读取ECU信息！
NORMAL: 2018.02.06 18:07:01.451    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 12 00 00 00 00
NORMAL: 2018.02.06 18:07:01.453    接收 0x00db60b1 0x0000073d 数据帧 标准帧 08 10 0B 62 F1 12 00 00 00
NORMAL: 2018.02.06 18:07:01.454    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:07:01.456    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
