NORMAL: 2018.02.06 16:13:59.846    软件启动！
NORMAL: 2018.02.06 16:14:01.599    选择汽车型号： 吉利帝豪PHEV_ISG
NORMAL: 2018.02.06 16:14:02.951    打开CAN设备成功！
NORMAL: 2018.02.06 16:14:02.951    启动数据收发线程！
NORMAL: 2018.02.06 16:14:02.951    开始进行CAN通信！
NORMAL: 2018.02.06 16:14:03.153    开始进行诊断线程！
NORMAL: 2018.02.06 16:14:03.162    发送 0000000000 0x00000735 数据帧 标准帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.162    接收 0x0073f0fb 0x0000073d 数据帧 标准帧 08 06 50 03 00 32 01 F4 AA
NORMAL: 2018.02.06 16:14:03.172    发送 0000000000 0x00000735 数据帧 标准帧 08 02 27 01 55 55 55 55 55
NORMAL: 2018.02.06 16:14:03.185    接收 0x0073f105 0x0000073d 数据帧 标准帧 08 06 67 01 00 A5 90 6A AA
NORMAL: 2018.02.06 16:14:03.187    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 16:14:03.187    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 16:14:03.188    发送 0000000000 0x00000735 数据帧 标准帧 08 06 27 02 F0 D7 F0 57 55
NORMAL: 2018.02.06 16:14:03.192    接收 0x0073f117 0x0000073d 数据帧 标准帧 08 02 67 02 AA AA AA AA AA
NORMAL: 2018.02.06 16:14:03.192    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 16:14:03.194    发送 0000000000 0x00000735 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.194    接收 0x0073f11d 0x0000073d 数据帧 标准帧 08 02 7E 00 AA AA AA AA AA
NORMAL: 2018.02.06 16:14:03.198    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 16:14:03.198    选中车型对应配置文件：C:/Users/chengshulei.GLBPOWER/Documents/Visual Studio 2013/Projects/DiagnosePage_20180118/Win32/Release/configure/帝豪PHEV_ISG/Diag_Set.txt
NORMAL: 2018.02.06 16:14:03.421    开始读取ECU信息！
NORMAL: 2018.02.06 16:14:03.500    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 12 00 00 00 00
NORMAL: 2018.02.06 16:14:03.502    接收 0x0073f24e 0x0000073d 数据帧 标准帧 08 10 0B 62 F1 12 00 00 00
NORMAL: 2018.02.06 16:14:03.503    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.505    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.505    接收 0x0073f253 0x0000073d 数据帧 标准帧 08 21 00 00 00 00 00 AA AA
NORMAL: 2018.02.06 16:14:03.508    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.510    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 87 00 00 00 00
NORMAL: 2018.02.06 16:14:03.512    接收 0x0073f259 0x0000073d 数据帧 标准帧 08 10 0B 62 F1 87 30 30 30
NORMAL: 2018.02.06 16:14:03.513    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.515    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.517    接收 0x0073f25d 0x0000073d 数据帧 标准帧 08 21 30 30 30 30 30 AA AA
NORMAL: 2018.02.06 16:14:03.518    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.520    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 89 00 00 00 00
NORMAL: 2018.02.06 16:14:03.522    接收 0x0073f262 0x0000073d 数据帧 标准帧 08 10 13 62 F1 89 30 30 30
NORMAL: 2018.02.06 16:14:03.523    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.526    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.526    接收 0x0073f267 0x0000073d 数据帧 标准帧 08 21 30 30 30 30 30 30 30
NORMAL: 2018.02.06 16:14:03.528    接收 0x0073f269 0x0000073d 数据帧 标准帧 08 22 30 30 30 30 30 30 AA
NORMAL: 2018.02.06 16:14:03.528    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.530    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 8A 00 00 00 00
NORMAL: 2018.02.06 16:14:03.532    接收 0x0073f26d 0x0000073d 数据帧 标准帧 08 10 0D 62 F1 8A 30 30 30
NORMAL: 2018.02.06 16:14:03.533    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.535    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.537    接收 0x0073f271 0x0000073d 数据帧 标准帧 08 21 30 30 30 30 30 30 30
NORMAL: 2018.02.06 16:14:03.538    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.540    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 8B 00 00 00 00
NORMAL: 2018.02.06 16:14:03.542    接收 0x0073f276 0x0000073d 数据帧 标准帧 08 07 62 F1 8B 20 17 12 10
NORMAL: 2018.02.06 16:14:03.543    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.545    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 8C 00 00 00 00
NORMAL: 2018.02.06 16:14:03.547    接收 0x0073f27d 0x0000073d 数据帧 标准帧 08 10 13 62 F1 8C 31 32 33
NORMAL: 2018.02.06 16:14:03.548    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.550    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.552    接收 0x0073f280 0x0000073d 数据帧 标准帧 08 21 34 35 36 37 38 39 41
NORMAL: 2018.02.06 16:14:03.553    接收 0x0073f281 0x0000073d 数据帧 标准帧 08 22 42 43 44 45 46 31 AA
NORMAL: 2018.02.06 16:14:03.553    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.555    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 90 00 00 00 00
NORMAL: 2018.02.06 16:14:03.557    接收 0x0073f285 0x0000073d 数据帧 标准帧 08 10 14 62 F1 90 00 00 00
NORMAL: 2018.02.06 16:14:03.559    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.562    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.562    接收 0x0073f28b 0x0000073d 数据帧 标准帧 08 21 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.564    接收 0x0073f28d 0x0000073d 数据帧 标准帧 08 22 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.564    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.566    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 93 00 00 00 00
NORMAL: 2018.02.06 16:14:03.569    接收 0x0073f292 0x0000073d 数据帧 标准帧 08 10 13 62 F1 93 31 32 33
NORMAL: 2018.02.06 16:14:03.569    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.572    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.575    接收 0x0073f297 0x0000073d 数据帧 标准帧 08 21 34 35 36 37 38 39 41
NORMAL: 2018.02.06 16:14:03.576    接收 0x0073f298 0x0000073d 数据帧 标准帧 08 22 42 43 44 45 46 31 AA
NORMAL: 2018.02.06 16:14:03.576    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.578    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 94 00 00 00 00
NORMAL: 2018.02.06 16:14:03.579    接收 0x0073f29d 0x0000073d 数据帧 标准帧 08 10 13 62 F1 94 31 32 33
NORMAL: 2018.02.06 16:14:03.581    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.584    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.584    接收 0x0073f2a1 0x0000073d 数据帧 标准帧 08 21 34 35 36 37 38 39 41
NORMAL: 2018.02.06 16:14:03.587    接收 0x0073f2a3 0x0000073d 数据帧 标准帧 08 22 42 43 44 45 46 31 AA
NORMAL: 2018.02.06 16:14:03.587    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.589    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 95 00 00 00 00
NORMAL: 2018.02.06 16:14:03.591    接收 0x0073f2a7 0x0000073d 数据帧 标准帧 08 10 13 62 F1 95 31 32 33
NORMAL: 2018.02.06 16:14:03.592    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.594    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.596    接收 0x0073f2ad 0x0000073d 数据帧 标准帧 08 21 34 35 36 37 38 39 41
NORMAL: 2018.02.06 16:14:03.597    接收 0x0073f2ad 0x0000073d 数据帧 标准帧 08 22 42 43 44 45 46 31 AA
NORMAL: 2018.02.06 16:14:03.597    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.599    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 9D 00 00 00 00
NORMAL: 2018.02.06 16:14:03.601    接收 0x0073f2b1 0x0000073d 数据帧 标准帧 08 07 62 F1 9D 00 00 00 00
NORMAL: 2018.02.06 16:14:03.602    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.605    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 10 00 00 00 00
NORMAL: 2018.02.06 16:14:03.605    接收 0x0073f2b6 0x0000073d 数据帧 标准帧 08 10 0B 62 F1 10 00 00 00
NORMAL: 2018.02.06 16:14:03.607    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.609    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.611    接收 0x0073f2bb 0x0000073d 数据帧 标准帧 08 21 00 00 00 00 00 AA AA
NORMAL: 2018.02.06 16:14:03.612    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.614    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 01 00 00 00 00
NORMAL: 2018.02.06 16:14:03.616    接收 0x0073f2c1 0x0000073d 数据帧 标准帧 08 04 62 F1 01 00 AA AA AA
NORMAL: 2018.02.06 16:14:03.617    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.619    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 92 00 00 00 00
NORMAL: 2018.02.06 16:14:03.621    接收 0x0073f2c5 0x0000073d 数据帧 标准帧 08 10 13 62 F1 92 31 32 33
NORMAL: 2018.02.06 16:14:03.622    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.625    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.625    接收 0x0073f2ca 0x0000073d 数据帧 标准帧 08 21 34 35 36 37 38 39 41
NORMAL: 2018.02.06 16:14:03.627    接收 0x0073f2cd 0x0000073d 数据帧 标准帧 08 22 42 43 44 45 46 31 AA
NORMAL: 2018.02.06 16:14:03.627    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.629    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 98 00 00 00 00
NORMAL: 2018.02.06 16:14:03.631    接收 0x0073f2cf 0x0000073d 数据帧 标准帧 08 10 13 62 F1 98 00 00 00
NORMAL: 2018.02.06 16:14:03.632    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.634    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.636    接收 0x0073f2d5 0x0000073d 数据帧 标准帧 08 21 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.637    接收 0x0073f2d5 0x0000073d 数据帧 标准帧 08 22 00 00 00 00 00 00 AA
NORMAL: 2018.02.06 16:14:03.637    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.639    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 99 00 00 00 00
NORMAL: 2018.02.06 16:14:03.641    接收 0x0073f2d9 0x0000073d 数据帧 标准帧 08 07 62 F1 99 00 00 00 00
NORMAL: 2018.02.06 16:14:03.642    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.645    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 80 00 00 00 00
NORMAL: 2018.02.06 16:14:03.645    接收 0x0073f2df 0x0000073d 数据帧 标准帧 08 10 13 62 F1 80 31 32 33
NORMAL: 2018.02.06 16:14:03.647    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.649    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:03.651    接收 0x0073f2e3 0x0000073d 数据帧 标准帧 08 21 34 35 36 37 38 39 41
NORMAL: 2018.02.06 16:14:03.652    接收 0x0073f2e4 0x0000073d 数据帧 标准帧 08 22 42 43 44 45 46 31 AA
NORMAL: 2018.02.06 16:14:03.652    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:03.652    读取ECU信息成功！
NORMAL: 2018.02.06 16:14:05.354    发送 0000000000 0x00000735 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:05.354    接收 0x0073f98c 0x0000073d 数据帧 标准帧 08 02 7E 00 AA AA AA AA AA
NORMAL: 2018.02.06 16:14:05.357    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 16:14:05.760    开始读取故障码！
NORMAL: 2018.02.06 16:14:05.859    发送 0000000000 0x00000735 数据帧 标准帧 08 03 19 02 FF 00 00 00 00
NORMAL: 2018.02.06 16:14:05.861    接收 0x0073fb86 0x0000073d 数据帧 标准帧 08 12 4B 59 02 49 1C 03 00
NORMAL: 2018.02.06 16:14:05.867    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 16:14:05.870    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 16:14:05.870    接收 0x0073fb90 0x0000073d 数据帧 标准帧 08 21 49 06 06 00 49 15 03
NORMAL: 2018.02.06 16:14:05.872    接收 0x0073fb92 0x0000073d 数据帧 标准帧 08 22 00 49 0A 1B 01 49 11
NORMAL: 2018.02.06 16:14:05.874    接收 0x0073fb94 0x0000073d 数据帧 标准帧 08 23 00 00 49 11 01 00 49
NORMAL: 2018.02.06 16:14:05.875    接收 0x0073fb95 0x0000073d 数据帧 标准帧 08 24 11 02 00 49 11 03 00
NORMAL: 2018.02.06 16:14:05.877    接收 0x0073fb97 0x0000073d 数据帧 标准帧 08 25 49 11 04 00 49 11 05
NORMAL: 2018.02.06 16:14:05.883    接收 0x0073fb98 0x0000073d 数据帧 标准帧 08 26 00 49 11 07 00 49 11
NORMAL: 2018.02.06 16:14:05.883    接收 0x0073fb99 0x0000073d 数据帧 标准帧 08 27 08 00 49 11 09 00 49
NORMAL: 2018.02.06 16:14:05.891    接收 0x0073fb9a 0x0000073d 数据帧 标准帧 08 28 11 0B 00 49 11 0C 00
